protein_id,locus_tag
ARI80223.1,BH695_0942
ARI80224.1,BH695_0943
ARI80225.1,BH695_0944
ARI80226.1,BH695_0945
ARI80227.1,BH695_0946
ARI80228.1,BH695_0947
ARI80229.1,BH695_0948
ARI80230.1,BH695_0949
ARI80231.1,BH695_0950
ARI80232.1,BH695_0951
ARI80233.1,BH695_0952
ARI80234.1,BH695_0953
ARI80235.1,BH695_0954
ARI80236.1,BH695_0955
ARI80237.1,BH695_0956
ARI80238.1,BH695_0957
ARI80239.1,BH695_0958
ARI80240.1,BH695_0959
ARI80241.1,BH695_0960
ARI80242.1,BH695_0961
ARI80243.1,BH695_0962
ARI80244.1,BH695_0963
ARI80245.1,BH695_0964
ARI80246.1,BH695_0965
ARI80247.1,BH695_0966
ARI80248.1,BH695_0967
ARI80249.1,BH695_0968
ARI80250.1,BH695_0969
ARI80251.1,BH695_0970
ARI80252.1,BH695_0971
ARI80253.1,BH695_0972
ARI80254.1,BH695_0973
ARI80255.1,BH695_0974
ARI80256.1,BH695_0975
ARI80257.1,BH695_0976
ARI80258.1,BH695_0977
ARI80259.1,BH695_0978
ARI80260.1,BH695_0979
ARI80261.1,BH695_0980
ARI80262.1,BH695_0981
ARI80263.1,BH695_0982
ARI80264.1,BH695_0983
ARI80265.1,BH695_0984
ARI80266.1,BH695_0985
ARI80267.1,BH695_0986
ARI80268.1,BH695_0987
ARI80269.1,BH695_0988
ARI80270.1,BH695_0989
ARI80271.1,BH695_0990
ARI80272.1,BH695_0991
ARI80273.1,BH695_0992
ARI80274.1,BH695_0993
ARI80275.1,BH695_0994
ARI80276.1,BH695_0995
ARI80277.1,BH695_0996
ARI80278.1,BH695_0997
ARI80279.1,BH695_0998
ARI80280.1,BH695_0999
ARI80281.1,BH695_1000
ARI80282.1,BH695_1001
ARI80283.1,BH695_1002
ARI80284.1,BH695_1003
ARI80285.1,BH695_1004
ARI80286.1,BH695_1005
ARI80287.1,BH695_1006
ARI80288.1,BH695_1007
ARI80289.1,BH695_1008
ARI80290.1,BH695_1009
ARI80291.1,BH695_1010
ARI80292.1,BH695_1011
ARI80293.1,BH695_1012
ARI80294.1,BH695_1013
ARI80295.1,BH695_1014
ARI80296.1,BH695_1015
ARI80297.1,BH695_1016
ARI80298.1,BH695_1017
ARI80299.1,BH695_1018
ARI80300.1,BH695_1019
ARI80301.1,BH695_1020
ARI80302.1,BH695_1021
ARI80303.1,BH695_1022
ARI80304.1,BH695_1023
ARI80305.1,BH695_1024
ARI80306.1,BH695_1025
ARI80307.1,BH695_1026
ARI80308.1,BH695_1027
ARI80309.1,BH695_1028
ARI80310.1,BH695_1029
ARI80311.1,BH695_1030
ARI80312.1,BH695_1031
ARI80313.1,BH695_1032
ARI80314.1,BH695_1033
ARI80315.1,BH695_1034
ARI80316.1,BH695_1035
ARI80317.1,BH695_1036
ARI80318.1,BH695_1037
ARI80319.1,BH695_1038
ARI80320.1,BH695_1039
ARI80321.1,BH695_1040
ARI80322.1,BH695_1041
ARI80323.1,BH695_1042
ARI80324.1,BH695_1043
ARI80325.1,BH695_1044
ARI80326.1,BH695_1045
ARI80327.1,BH695_1046
ARI80328.1,BH695_1047
ARI80329.1,BH695_1048
ARI80330.1,BH695_1049
ARI80331.1,BH695_1050
ARI80332.1,BH695_1051
ARI80333.1,BH695_1052
ARI80334.1,BH695_1053
ARI80335.1,BH695_1054
ARI80336.1,BH695_1055
ARI80337.1,BH695_1056
ARI80338.1,BH695_1057
ARI80339.1,BH695_1058
ARI80340.1,BH695_1059
ARI80341.1,BH695_1060
ARI80342.1,BH695_1061
ARI80343.1,BH695_1062
ARI80344.1,BH695_1063
ARI80345.1,BH695_1064
ARI80346.1,BH695_1065
ARI80347.1,BH695_1066
ARI80348.1,BH695_1067
ARI80349.1,BH695_1068
ARI80350.1,BH695_1069
ARI80351.1,BH695_1070
ARI80352.1,BH695_1071
ARI80353.1,BH695_1072
ARI80354.1,BH695_1073
ARI80355.1,BH695_1074
ARI80356.1,BH695_1075
ARI80357.1,BH695_1076
ARI80358.1,BH695_1077
ARI80359.1,BH695_1078
ARI80360.1,BH695_1079
ARI80361.1,BH695_1080
ARI80362.1,BH695_1081
ARI80363.1,BH695_1082
ARI80364.1,BH695_1083
ARI80365.1,BH695_1084
ARI80366.1,BH695_1085
ARI80367.1,BH695_1086
ARI80368.1,BH695_1087
ARI80369.1,BH695_1088
ARI80370.1,BH695_1089
ARI80371.1,BH695_1090
ARI80372.1,BH695_1091
ARI80373.1,BH695_1092
ARI80374.1,BH695_1093
ARI80375.1,BH695_1094
ARI80376.1,BH695_1095
ARI80377.1,BH695_1096
ARI80378.1,BH695_1097
ARI80379.1,BH695_1098
ARI80380.1,BH695_1099
ARI80381.1,BH695_1100
ARI80382.1,BH695_1101
ARI80383.1,BH695_1102
ARI80384.1,BH695_1103
ARI80385.1,BH695_1104
ARI80386.1,BH695_1105
ARI80387.1,BH695_1106
ARI80388.1,BH695_1107
ARI80389.1,BH695_1108
ARI80390.1,BH695_1109
ARI80391.1,BH695_1110
ARI80392.1,BH695_1111
ARI80393.1,BH695_1112
ARI80394.1,BH695_1113
ARI80395.1,BH695_1114
ARI80396.1,BH695_1115
ARI80397.1,BH695_1116
ARI80398.1,BH695_1117
ARI80399.1,BH695_1118
ARI80400.1,BH695_1119
ARI80401.1,BH695_1120
ARI80402.1,BH695_1121
ARI80403.1,BH695_1122
ARI80404.1,BH695_1123
ARI80405.1,BH695_1124
ARI80406.1,BH695_1125
ARI80407.1,BH695_1126
ARI80408.1,BH695_1127
ARI80409.1,BH695_1128
ARI80410.1,BH695_1129
ARI80411.1,BH695_1130
ARI80412.1,BH695_1131
ARI80413.1,BH695_1132
ARI80414.1,BH695_1133
ARI80415.1,BH695_1134
ARI80416.1,BH695_1135
ARI80417.1,BH695_1136
ARI80418.1,BH695_1137
ARI80419.1,BH695_1138
ARI80420.1,BH695_1139
ARI80421.1,BH695_1140
ARI80422.1,BH695_1141
ARI80423.1,BH695_1142
ARI80424.1,BH695_1143
ARI80425.1,BH695_1144
ARI80426.1,BH695_1145
ARI80427.1,BH695_1146
ARI80428.1,BH695_1147
ARI80429.1,BH695_1148
ARI80430.1,BH695_1149
ARI80431.1,BH695_1150
ARI80432.1,BH695_1151
ARI80433.1,BH695_1152
ARI80434.1,BH695_1153
ARI80435.1,BH695_1154
ARI80436.1,BH695_1155
ARI80437.1,BH695_1156
ARI80438.1,BH695_1157
ARI80439.1,BH695_1158
ARI80440.1,BH695_1159
ARI80441.1,BH695_1160
ARI80442.1,BH695_1161
ARI80443.1,BH695_1162
ARI80444.1,BH695_1163
ARI80445.1,BH695_1164
ARI80446.1,BH695_1165
ARI80447.1,BH695_1166
ARI80448.1,BH695_1167
ARI80449.1,BH695_1168
ARI80450.1,BH695_1169
ARI80451.1,BH695_1170
ARI80452.1,BH695_1171
ARI80453.1,BH695_1172
ARI80454.1,BH695_1173
ARI80455.1,BH695_1174
ARI80456.1,BH695_1175
ARI80457.1,BH695_1176
ARI80458.1,BH695_1177
ARI80459.1,BH695_1178
ARI80460.1,BH695_1179
ARI80461.1,BH695_1180
ARI80462.1,BH695_1181
ARI80463.1,BH695_1182
ARI80464.1,BH695_1183
ARI80465.1,BH695_1184
ARI80466.1,BH695_1185
ARI80467.1,BH695_1186
ARI80468.1,BH695_1187
ARI80469.1,BH695_1188
ARI80470.1,BH695_1189
ARI80471.1,BH695_1190
ARI80472.1,BH695_1191
ARI80473.1,BH695_1192
ARI80474.1,BH695_1193
ARI80475.1,BH695_1194
ARI80476.1,BH695_1195
ARI80477.1,BH695_1196
ARI80478.1,BH695_1197
ARI80479.1,BH695_1198
ARI80480.1,BH695_1199
ARI80481.1,BH695_1200
ARI80482.1,BH695_1201
ARI80483.1,BH695_1202
ARI80484.1,BH695_1203
ARI80485.1,BH695_1204
ARI80486.1,BH695_1205
ARI80487.1,BH695_1206
ARI80488.1,BH695_1207
ARI80489.1,BH695_1208
ARI80490.1,BH695_1209
ARI80491.1,BH695_1210
ARI80492.1,BH695_1211
ARI80493.1,BH695_1212
ARI80494.1,BH695_1213
ARI80495.1,BH695_1214
ARI80496.1,BH695_1215
ARI80497.1,BH695_1216
ARI80498.1,BH695_1217
ARI80499.1,BH695_1218
ARI80501.1,BH695_1220
ARI80500.1,BH695_1219
ARI80502.1,BH695_1221
ARI80503.1,BH695_1222
ARI80504.1,BH695_1223
ARI80505.1,BH695_1224
ARI80506.1,BH695_1225
ARI80507.1,BH695_1226
ARI80508.1,BH695_1227
ARI80509.1,BH695_1228
ARI80510.1,BH695_1229
ARI80511.1,BH695_1230
ARI80512.1,BH695_1231
ARI80513.1,BH695_1232
ARI80514.1,BH695_1233
ARI80515.1,BH695_1234
ARI80516.1,BH695_1235
ARI80517.1,BH695_1236
ARI80518.1,BH695_1237
ARI80519.1,BH695_1238
ARI80520.1,BH695_1239
ARI80521.1,BH695_1240
ARI80522.1,BH695_1241
ARI80523.1,BH695_1242
ARI80524.1,BH695_1243
ARI80525.1,BH695_1244
ARI80526.1,BH695_1245
ARI80527.1,BH695_1246
ARI80528.1,BH695_1247
ARI80529.1,BH695_1248
ARI80530.1,BH695_1249
ARI80531.1,BH695_1250
ARI80532.1,BH695_1251
ARI80533.1,BH695_1252
ARI80534.1,BH695_1253
ARI80535.1,BH695_1254
ARI80536.1,BH695_1255
ARI80537.1,BH695_1256
ARI80538.1,BH695_1257
ARI80539.1,BH695_1258
ARI80540.1,BH695_1259
ARI80541.1,BH695_1260
ARI80542.1,BH695_1261
ARI80543.1,BH695_1262
ARI80544.1,BH695_1263
ARI80545.1,BH695_1264
ARI80546.1,BH695_1265
ARI80547.1,BH695_1266
ARI80548.1,BH695_1267
ARI80549.1,BH695_1268
ARI80550.1,BH695_1269
ARI80551.1,BH695_1270
ARI80552.1,BH695_1271
ARI80553.1,BH695_1272
ARI80554.1,BH695_1273
ARI80555.1,BH695_1274
ARI80556.1,BH695_1275
ARI80557.1,BH695_1276
ARI80558.1,BH695_1277
ARI80559.1,BH695_1278
ARI80560.1,BH695_1279
ARI80561.1,BH695_1280
ARI80562.1,BH695_1281
ARI80563.1,BH695_1282
ARI80564.1,BH695_1283
ARI80565.1,BH695_1284
ARI80566.1,BH695_1285
ARI80567.1,BH695_1286
ARI80568.1,BH695_1287
ARI80569.1,BH695_1288
ARI80570.1,BH695_1289
ARI80571.1,BH695_1290
ARI80572.1,BH695_1291
ARI80573.1,BH695_1292
ARI80574.1,BH695_1293
ARI80575.1,BH695_1294
ARI80576.1,BH695_1295
ARI80577.1,BH695_1296
ARI80578.1,BH695_1297
ARI80579.1,BH695_1298
ARI80580.1,BH695_1299
ARI80581.1,BH695_1300
ARI80582.1,BH695_1301
ARI80583.1,BH695_1302
ARI80584.1,BH695_1303
ARI80585.1,BH695_1304
ARI80586.1,BH695_1305
ARI80587.1,BH695_1306
ARI80588.1,BH695_1307
ARI80589.1,BH695_1308
ARI80590.1,BH695_1309
ARI80591.1,BH695_1310
ARI80592.1,BH695_1311
ARI80593.1,BH695_1312
ARI80594.1,BH695_1313
ARI80595.1,BH695_1314
ARI80596.1,BH695_1315
ARI80597.1,BH695_1316
ARI80598.1,BH695_1317
ARI80599.1,BH695_1318
ARI80600.1,BH695_1319
ARI80601.1,BH695_1320
ARI80602.1,BH695_1321
ARI80603.1,BH695_1322
ARI80604.1,BH695_1323
ARI80605.1,BH695_1324
ARI80606.1,BH695_1325
ARI80607.1,BH695_1326
ARI80608.1,BH695_1327
ARI80609.1,BH695_1328
ARI80610.1,BH695_1329
ARI80611.1,BH695_1330
ARI80612.1,BH695_1331
ARI80613.1,BH695_1332
ARI80614.1,BH695_1333
ARI80615.1,BH695_1334
ARI80616.1,BH695_1335
ARI80617.1,BH695_1336
ARI80618.1,BH695_1337
ARI80619.1,BH695_1338
ARI80620.1,BH695_1339
ARI80621.1,BH695_1340
ARI80622.1,BH695_1341
ARI80623.1,BH695_1342
ARI80624.1,BH695_1343
ARI80625.1,BH695_1344
ARI80626.1,BH695_1345
ARI80627.1,BH695_1346
ARI80628.1,BH695_1347
ARI80629.1,BH695_1348
ARI80630.1,BH695_1349
ARI80631.1,BH695_1350
ARI80632.1,BH695_1351
ARI80633.1,BH695_1352
ARI80634.1,BH695_1353
ARI80635.1,BH695_1354
ARI80636.1,BH695_1355
ARI80637.1,BH695_1356
ARI80638.1,BH695_1357
ARI80639.1,BH695_1358
ARI80640.1,BH695_1359
ARI80641.1,BH695_1360
ARI80642.1,BH695_1361
ARI80643.1,BH695_1362
ARI80644.1,BH695_1363
ARI80645.1,BH695_1364
ARI80646.1,BH695_1365
ARI80647.1,BH695_1366
ARI80648.1,BH695_1367
ARI80649.1,BH695_1368
ARI80650.1,BH695_1369
ARI80651.1,BH695_1370
ARI80652.1,BH695_1371
ARI80653.1,BH695_1372
ARI80654.1,BH695_1373
ARI80655.1,BH695_1374
ARI80656.1,BH695_1375
ARI80657.1,BH695_1376
ARI80658.1,BH695_1377
ARI80659.1,BH695_1378
ARI80660.1,BH695_1379
ARI80661.1,BH695_1380
ARI80662.1,BH695_1381
ARI80663.1,BH695_1382
ARI80664.1,BH695_1383
ARI80665.1,BH695_1384
ARI80666.1,BH695_1385
ARI80667.1,BH695_1386
ARI80668.1,BH695_1387
ARI80669.1,BH695_1388
ARI80670.1,BH695_1389
ARI80671.1,BH695_1390
ARI80672.1,BH695_1391
ARI80673.1,BH695_1392
ARI80674.1,BH695_1393
ARI80675.1,BH695_1394
ARI80676.1,BH695_1395
ARI80677.1,BH695_1396
ARI80678.1,BH695_1397
ARI80679.1,BH695_1398
ARI80680.1,BH695_1399
ARI80681.1,BH695_1400
ARI80682.1,BH695_1401
ARI80683.1,BH695_1402
ARI80684.1,BH695_1403
ARI80685.1,BH695_1404
ARI80686.1,BH695_1405
ARI80687.1,BH695_1406
ARI80688.1,BH695_1407
ARI80689.1,BH695_1408
ARI80690.1,BH695_1409
ARI80691.1,BH695_1410
ARI80692.1,BH695_1411
ARI80693.1,BH695_1412
ARI80694.1,BH695_1413
ARI80695.1,BH695_1414
ARI80696.1,BH695_1415
ARI80697.1,BH695_1416
ARI80698.1,BH695_1417
ARI80699.1,BH695_1418
ARI80700.1,BH695_1419
ARI80701.1,BH695_1420
ARI80702.1,BH695_1421
ARI80703.1,BH695_1422
ARI80704.1,BH695_1423
ARI80705.1,BH695_1424
ARI80706.1,BH695_1425
ARI80707.1,BH695_1426
ARI80708.1,BH695_1427
ARI80709.1,BH695_1428
ARI80710.1,BH695_1429
ARI80711.1,BH695_1430
ARI80712.1,BH695_1431
ARI80713.1,BH695_1432
ARI80714.1,BH695_1433
ARI80715.1,BH695_1434
ARI80716.1,BH695_1435
ARI80717.1,BH695_1436
ARI80718.1,BH695_1437
ARI80719.1,BH695_1438
ARI80720.1,BH695_1439
ARI80721.1,BH695_1440
ARI80722.1,BH695_1441
ARI80723.1,BH695_1442
ARI80724.1,BH695_1443
ARI80725.1,BH695_1444
ARI80726.1,BH695_1445
ARI80727.1,BH695_1446
ARI80728.1,BH695_1447
ARI80729.1,BH695_1448
ARI80730.1,BH695_1449
ARI80731.1,BH695_1450
ARI80732.1,BH695_1451
ARI80733.1,BH695_1452
ARI80734.1,BH695_1453
ARI80735.1,BH695_1454
ARI80736.1,BH695_1455
ARI80737.1,BH695_1456
ARI80738.1,BH695_1457
ARI80739.1,BH695_1458
ARI80740.1,BH695_1459
ARI80741.1,BH695_1460
ARI80742.1,BH695_1461
ARI80743.1,BH695_1462
ARI80744.1,BH695_1463
ARI80745.1,BH695_1464
ARI80746.1,BH695_1465
ARI80747.1,BH695_1466
ARI80748.1,BH695_1467
ARI80749.1,BH695_1468
ARI80750.1,BH695_1469
ARI80751.1,BH695_1470
ARI80752.1,BH695_1471
ARI80753.1,BH695_1472
ARI80754.1,BH695_1473
ARI80755.1,BH695_1474
ARI80756.1,BH695_1475
ARI80757.1,BH695_1476
ARI80758.1,BH695_1477
ARI80759.1,BH695_1478
ARI80760.1,BH695_1479
ARI80761.1,BH695_1480
ARI80762.1,BH695_1481
ARI80763.1,BH695_1482
ARI80764.1,BH695_1483
ARI80765.1,BH695_1484
ARI80766.1,BH695_1485
ARI80767.1,BH695_1486
ARI80768.1,BH695_1487
ARI80769.1,BH695_1488
ARI80770.1,BH695_1489
ARI80771.1,BH695_1490
ARI80772.1,BH695_1491
ARI80773.1,BH695_1492
ARI80774.1,BH695_1493
ARI80775.1,BH695_1494
ARI80776.1,BH695_1495
ARI80777.1,BH695_1496
ARI80778.1,BH695_1497
ARI80779.1,BH695_1498
ARI80780.1,BH695_1499
ARI80781.1,BH695_1500
ARI80782.1,BH695_1501
ARI80783.1,BH695_1502
ARI80784.1,BH695_1503
ARI80785.1,BH695_1504
ARI80786.1,BH695_1505
ARI80787.1,BH695_1506
ARI80788.1,BH695_1507
ARI80789.1,BH695_1508
ARI80790.1,BH695_1509
ARI80791.1,BH695_1510
ARI80792.1,BH695_1511
ARI80793.1,BH695_1512
ARI80794.1,BH695_1513
ARI80795.1,BH695_1514
ARI80796.1,BH695_1515
ARI80797.1,BH695_1516
ARI80798.1,BH695_1517
ARI80799.1,BH695_1518
ARI80800.1,BH695_1519
ARI80801.1,BH695_1520
ARI80802.1,BH695_1521
ARI80803.1,BH695_1522
ARI80804.1,BH695_1523
ARI80805.1,BH695_1524
ARI80806.1,BH695_1525
ARI80807.1,BH695_1526
ARI80808.1,BH695_1527
ARI80809.1,BH695_1528
ARI80810.1,BH695_1529
ARI80811.1,BH695_1530
ARI80812.1,BH695_1531
ARI80813.1,BH695_1532
ARI80814.1,BH695_1533
ARI80815.1,BH695_1534
ARI80816.1,BH695_1535
ARI80817.1,BH695_1536
ARI80818.1,BH695_1537
ARI80819.1,BH695_1538
ARI80820.1,BH695_1539
ARI80821.1,BH695_1540
ARI80822.1,BH695_1541
ARI80823.1,BH695_1542
ARI80824.1,BH695_1543
ARI80825.1,BH695_1544
ARI80826.1,BH695_1545
ARI80827.1,BH695_1546
ARI80828.1,BH695_1547
ARI80829.1,BH695_1548
ARI80830.1,BH695_1549
ARI80831.1,BH695_1550
ARI80832.1,BH695_1551
ARI80833.1,BH695_1552
ARI80834.1,BH695_1553
ARI80835.1,BH695_1554
ARI80836.1,BH695_1555
ARI80837.1,BH695_1556
ARI80838.1,BH695_1557
ARI80839.1,BH695_1558
ARI80840.1,BH695_1559
ARI80841.1,BH695_1560
ARI80842.1,BH695_1561
ARI80843.1,BH695_1562
ARI80844.1,BH695_1563
ARI80845.1,BH695_1564
ARI80846.1,BH695_1565
ARI80847.1,BH695_1566
ARI80848.1,BH695_1567
ARI80849.1,BH695_1568
ARI80850.1,BH695_1569
ARI80851.1,BH695_1570
ARI80852.1,BH695_1571
ARI80853.1,BH695_1572
ARI80854.1,BH695_1573
ARI80855.1,BH695_1574
ARI80856.1,BH695_1575
ARI80857.1,BH695_1576
ARI80858.1,BH695_1577
ARI80859.1,BH695_1578
ARI80860.1,BH695_1579
ARI80861.1,BH695_1580
ARI80862.1,BH695_1581
ARI80863.1,BH695_1582
ARI80864.1,BH695_1583
ARI80865.1,BH695_1584
ARI80866.1,BH695_1585
ARI80867.1,BH695_1586
ARI80868.1,BH695_1587
ARI80869.1,BH695_1588
ARI80870.1,BH695_1589
ARI80871.1,BH695_1590
ARI80872.1,BH695_1591
ARI80873.1,BH695_1592
ARI80874.1,BH695_1593
ARI80875.1,BH695_1594
ARI80876.1,BH695_1595
ARI80877.1,BH695_1596
ARI80878.1,BH695_1597
ARI80879.1,BH695_1598
ARI80880.1,BH695_1599
ARI80881.1,BH695_1600
ARI80882.1,BH695_1601
ARI80883.1,BH695_1602
ARI80884.1,BH695_1603
ARI80885.1,BH695_1604
ARI80886.1,BH695_1605
ARI80887.1,BH695_1606
ARI80888.1,BH695_1607
ARI80889.1,BH695_1608
ARI80890.1,BH695_1609
ARI80891.1,BH695_1610
ARI80892.1,BH695_1611
ARI80893.1,BH695_1612
ARI80894.1,BH695_1613
ARI80895.1,BH695_1614
ARI80896.1,BH695_1615
ARI80897.1,BH695_1616
ARI80898.1,BH695_1617
ARI80899.1,BH695_1618
ARI80900.1,BH695_1619
ARI80901.1,BH695_1620
ARI80902.1,BH695_1621
ARI80903.1,BH695_1622
ARI80904.1,BH695_1623
ARI80905.1,BH695_1624
ARI80906.1,BH695_1625
ARI80907.1,BH695_1626
ARI80908.1,BH695_1627
ARI80909.1,BH695_1628
ARI80910.1,BH695_1629
ARI80911.1,BH695_1630
ARI80912.1,BH695_1631
ARI80913.1,BH695_1632
ARI80914.1,BH695_1633
ARI80915.1,BH695_1634
ARI80916.1,BH695_1635
ARI80917.1,BH695_1636
ARI80918.1,BH695_1637
ARI80919.1,BH695_1638
ARI80920.1,BH695_1639
ARI80921.1,BH695_1640
ARI80922.1,BH695_1641
ARI80923.1,BH695_1642
ARI80924.1,BH695_1643
ARI80925.1,BH695_1644
ARI80926.1,BH695_1645
ARI80927.1,BH695_1646
ARI80928.1,BH695_1647
ARI80929.1,BH695_1648
ARI80930.1,BH695_1649
ARI80931.1,BH695_1650
ARI80932.1,BH695_1651
ARI80933.1,BH695_1652
ARI80934.1,BH695_1653
ARI80935.1,BH695_1654
ARI80936.1,BH695_1655
ARI80937.1,BH695_1656
ARI80938.1,BH695_1657
ARI80939.1,BH695_1658
ARI80940.1,BH695_1659
ARI80941.1,BH695_1660
ARI80942.1,BH695_1661
ARI80943.1,BH695_1662
ARI80944.1,BH695_1663
ARI80945.1,BH695_1664
ARI80946.1,BH695_1665
ARI80947.1,BH695_1666
ARI80948.1,BH695_1667
ARI80949.1,BH695_1668
ARI80950.1,BH695_1669
ARI80951.1,BH695_1670
ARI80952.1,BH695_1671
ARI80953.1,BH695_1672
ARI80954.1,BH695_1673
ARI80955.1,BH695_1674
ARI80956.1,BH695_1675
ARI80957.1,BH695_1676
ARI80958.1,BH695_1677
ARI80959.1,BH695_1678
ARI80960.1,BH695_1679
ARI80961.1,BH695_1680
ARI80962.1,BH695_1681
ARI80963.1,BH695_1682
ARI80964.1,BH695_1683
ARI80965.1,BH695_1684
ARI80966.1,BH695_1685
ARI80967.1,BH695_1686
ARI80968.1,BH695_1687
ARI80969.1,BH695_1688
ARI80970.1,BH695_1689
ARI80971.1,BH695_1690
ARI80972.1,BH695_1691
ARI80973.1,BH695_1692
ARI80974.1,BH695_1693
ARI80975.1,BH695_1694
ARI80976.1,BH695_1695
ARI80977.1,BH695_1696
ARI80978.1,BH695_1697
ARI80979.1,BH695_1698
ARI80980.1,BH695_1699
ARI80981.1,BH695_1700
ARI80982.1,BH695_1701
ARI80983.1,BH695_1702
ARI80984.1,BH695_1703
ARI80985.1,BH695_1704
ARI80986.1,BH695_1705
ARI80987.1,BH695_1706
ARI80988.1,BH695_1707
ARI80989.1,BH695_1708
ARI80990.1,BH695_1709
ARI80991.1,BH695_1710
ARI80992.1,BH695_1711
ARI80993.1,BH695_1712
ARI80994.1,BH695_1713
ARI80995.1,BH695_1714
ARI80996.1,BH695_1715
ARI80997.1,BH695_1716
ARI80998.1,BH695_1717
ARI80999.1,BH695_1718
ARI81000.1,BH695_1719
ARI81001.1,BH695_1720
ARI81002.1,BH695_1721
ARI81003.1,BH695_1722
ARI81004.1,BH695_1723
ARI81005.1,BH695_1724
ARI81006.1,BH695_1725
ARI81007.1,BH695_1726
ARI81008.1,BH695_1727
ARI81009.1,BH695_1728
ARI81010.1,BH695_1729
ARI81011.1,BH695_1730
ARI81012.1,BH695_1731
ARI81013.1,BH695_1732
ARI81014.1,BH695_1733
ARI81015.1,BH695_1734
ARI81016.1,BH695_1735
ARI81017.1,BH695_1736
ARI81018.1,BH695_1737
ARI81019.1,BH695_1738
ARI81020.1,BH695_1739
ARI81021.1,BH695_1740
ARI81022.1,BH695_1741
ARI81023.1,BH695_1742
ARI81024.1,BH695_1743
ARI81025.1,BH695_1744
ARI81026.1,BH695_1745
ARI81027.1,BH695_1746
ARI81028.1,BH695_1747
ARI81029.1,BH695_1748
ARI81030.1,BH695_1749
ARI81031.1,BH695_1750
ARI81032.1,BH695_1751
ARI81033.1,BH695_1752
ARI81034.1,BH695_1753
ARI81035.1,BH695_1754
ARI81036.1,BH695_1755
ARI81037.1,BH695_1756
ARI81038.1,BH695_1757
ARI81039.1,BH695_1758
ARI81040.1,BH695_1759
ARI81041.1,BH695_1760
ARI81042.1,BH695_1761
ARI81043.1,BH695_1762
ARI81044.1,BH695_1763
ARI81045.1,BH695_1764
ARI81046.1,BH695_1765
ARI81047.1,BH695_1766
ARI81048.1,BH695_1767
ARI81049.1,BH695_1768
ARI81050.1,BH695_1769
ARI81051.1,BH695_1770
ARI81052.1,BH695_1771
ARI81053.1,BH695_1772
ARI81054.1,BH695_1773
ARI81055.1,BH695_1774
ARI81056.1,BH695_1775
ARI81057.1,BH695_1776
ARI81058.1,BH695_1777
ARI81059.1,BH695_1778
ARI81060.1,BH695_1779
ARI81061.1,BH695_1780
ARI81062.1,BH695_1781
ARI81063.1,BH695_1782
ARI81064.1,BH695_1783
ARI81065.1,BH695_1784
ARI81066.1,BH695_1785
ARI81067.1,BH695_1786
ARI81068.1,BH695_1787
ARI81069.1,BH695_1788
ARI81070.1,BH695_1789
ARI81071.1,BH695_1790
ARI81072.1,BH695_1791
ARI81073.1,BH695_1792
ARI81074.1,BH695_1793
ARI81075.1,BH695_1794
ARI81076.1,BH695_1795
ARI81077.1,BH695_1796
ARI81078.1,BH695_1797
ARI81079.1,BH695_1798
ARI81080.1,BH695_1799
ARI81081.1,BH695_1800
ARI81082.1,BH695_1801
ARI81083.1,BH695_1802
ARI81084.1,BH695_1803
ARI81085.1,BH695_1804
ARI81086.1,BH695_1805
ARI81087.1,BH695_1806
ARI81088.1,BH695_1807
ARI81089.1,BH695_1808
ARI81090.1,BH695_1809
ARI81091.1,BH695_1810
ARI81092.1,BH695_1811
ARI81093.1,BH695_1812
ARI81094.1,BH695_1813
ARI81095.1,BH695_1814
ARI81096.1,BH695_1815
ARI81097.1,BH695_1816
ARI81098.1,BH695_1817
ARI81099.1,BH695_1818
ARI81100.1,BH695_1819
ARI81101.1,BH695_1820
ARI81102.1,BH695_1821
ARI81103.1,BH695_1822
ARI81104.1,BH695_1823
ARI81105.1,BH695_1824
ARI81106.1,BH695_1825
ARI81107.1,BH695_1826
ARI81108.1,BH695_1827
ARI81109.1,BH695_1828
ARI81110.1,BH695_1829
ARI81111.1,BH695_1830
ARI81112.1,BH695_1831
ARI81113.1,BH695_1832
ARI81114.1,BH695_1833
ARI81115.1,BH695_1834
ARI81116.1,BH695_1835
ARI81117.1,BH695_1836
ARI81118.1,BH695_1837
ARI81119.1,BH695_1838
ARI81120.1,BH695_1839
ARI81121.1,BH695_1840
ARI81122.1,BH695_1841
ARI81123.1,BH695_1842
ARI81124.1,BH695_1843
ARI81125.1,BH695_1844
ARI81126.1,BH695_1845
ARI81127.1,BH695_1846
ARI81128.1,BH695_1847
ARI81129.1,BH695_1848
ARI81130.1,BH695_1849
ARI81131.1,BH695_1850
ARI81132.1,BH695_1851
ARI81133.1,BH695_1852
ARI81134.1,BH695_1853
ARI81135.1,BH695_1854
ARI81136.1,BH695_1855
ARI81137.1,BH695_1856
ARI81138.1,BH695_1857
ARI81139.1,BH695_1858
ARI81140.1,BH695_1859
ARI81141.1,BH695_1860
ARI81142.1,BH695_1861
ARI81143.1,BH695_1862
ARI81144.1,BH695_1863
ARI81145.1,BH695_1864
ARI81146.1,BH695_1865
ARI81147.1,BH695_1866
ARI81148.1,BH695_1867
ARI81149.1,BH695_1868
ARI81150.1,BH695_1869
ARI81151.1,BH695_1870
ARI81152.1,BH695_1871
ARI81153.1,BH695_1872
ARI81154.1,BH695_1873
